day_name, month, day, year
Friday, January, 1, 2021
Monday, February, 15, 2021
Tuesday, February, 16, 2021
Saturday, March, 20, 2021
Wednesday, March, 24, 2021
Saturday, March, 27, 2021
Sunday, March, 28, 2021
Monday, March, 29, 2021
Thursday, April, 1, 2021
Friday, April, 2, 2021
Friday, April, 2, 2021
Friday, April, 2, 2021
Saturday, April, 3, 2021
Sunday, April, 4, 2021
Sunday, April, 4, 2021
Saturday, April, 24, 2021
Saturday, May, 1, 2021
Wednesday, May, 12, 2021
Monday, May, 24, 2021
Tuesday, May, 25, 2021
Thursday, June, 17, 2021
Sunday, June, 20, 2021
Monday, June, 21, 2021
Monday, June, 21, 2021
Friday, July, 9, 2021
Tuesday, July, 20, 2021
Tuesday, August, 10, 2021
Monday, August, 16, 2021
Monday, September, 6, 2021
Tuesday, September, 7, 2021
Wednesday, September, 8, 2021
Wednesday, September, 15, 2021
Thursday, September, 16, 2021
Wednesday, September, 22, 2021
Friday, October, 8, 2021
Monday, October, 11, 2021
Saturday, November, 20, 2021
Monday, November, 22, 2021
Wednesday, December, 8, 2021
Tuesday, December, 21, 2021
Saturday, December, 25, 2021
Friday, December, 31, 2021